linkage_marker_cM_position LOD_score
0.219846 -0.0186
1.134855 -0.2365
1.793034 0.3098
2.565137 0.5726
3.19485 0.7150
3.765979 0.8099
4.499008 0.9097
5.022725 0.9097
5.867846 2.1495
6.546699 2.3900
7.23361 2.5457
8.019821 2.6744
8.528969 2.7389
9.496401 2.8438
10.061747 2.8441
10.695379 2.8432
11.407508 2.8431
12.039263 2.8432
12.55808 2.8442
13.094925 2.8458
13.826281 2.8459
14.56269 2.8458
15.18164 2.8463
15.761372 2.8461
16.287729 2.8454
16.818883 2.8459
17.458897 2.8473
18.063693 2.8461
18.773812 2.8455
19.298097 2.8458
20.281322 2.8466
20.681627 2.8460
21.31058 2.8433
21.748305 2.8407
22.151009 2.8390
22.561423 2.8383
23.254914 2.8375
23.76822 2.8369
24.489852 2.8366
24.99693 2.8375
25.844191 2.8365
26.454059 2.8352
26.965107 2.8343
27.596425 2.8139
28.437953 2.7979
28.951753 2.7891
29.777009 2.7800
30.180068 2.7769
30.836884 2.7703
31.507626 2.7614
32.098462 2.7461
32.825139 2.7113
33.665157 2.6198
34.280601 2.4936
35.141074 1.5510
35.661946 1.5499
36.066193 1.5487
36.950699 1.5508
37.652818 1.5532
38.566554 1.5503
39.188657 1.5505
39.803103 1.5505
40.519118 0.3022
41.262643 0.2987
41.774929 0.2876
42.714066 0.2808
43.430807 0.2411
44.083548 0.1728
44.593409 0.0730
45.592721 -0.5558
46.006494 -0.5580
46.748103 -0.5800
47.148636 -0.5905
47.775381 -0.6239
48.471957 -0.6525
48.983061 -0.6649
49.794871 -0.0986
50.508024 -0.0789
51.240346 -0.0022
51.771667 0.0169
52.449174 0.0244
52.998846 0.0222
53.625575 0.0182
54.554305 0.0114
55.111952 0.0160
55.632742 0.0108
56.141642 0.0115
57.080976 0.0101
57.827371 0.0540
58.708431 0.0701
59.213341 0.0031
59.885175 -0.2137
60.39711 -0.4146
60.913912 -0.5273
61.467027 -0.6739
62.448201 -1.3853
63.018872 -1.3939
63.556551 -1.3995
64.090756 -1.4047
64.711045 -1.4310
65.332339 -1.4415
65.850498 -1.6330
66.797641 -2.4430
67.609817 -2.4597
68.220123 -2.5463
68.875227 -2.5960
69.735949 -2.6846
70.496098 -2.6843
71.037445 -2.6610
71.705569 -2.6671
72.37801 -2.6720
73.023157 -2.6887
73.538332 -2.7141
74.484532 -2.7587
75.333556 -2.8268
76.170953 -3.3212
76.827552 -2.6009
77.438636 -2.6023
77.949909 -2.6212
78.495776 -2.3566
79.005447 -2.3475
79.406499 -1.9768
80.156901 -1.7042
80.784698 -1.6382
81.298232 -1.6308
81.907386 -1.6204
82.599278 -1.6091
83.123061 -1.6003
83.748036 -1.6096
84.252385 -1.5929
84.864825 -1.5756
85.372026 -1.5707
86.095034 -1.5635
86.61179 -1.5554
87.014751 -1.5748
87.622784 -1.7221
88.246559 -1.9596
89.06987 -1.9892
89.969962 -2.0691
90.495507 -2.0389
91.013856 -2.0326
91.872714 -2.0341
92.275374 -2.0401
93.064495 -2.0437
93.675301 -2.0552
94.186152 -2.0791
94.796232 -2.0813
95.518569 -2.0799
96.131192 -2.0854
96.63993 -2.0907
97.257679 -2.1040
98.107445 -2.1140
98.977946 -1.1341
99.50197 -1.0128
100.027195 -0.9541
100.54984 -0.9477
100.96667 -0.9656
101.645156 -1.0176
102.103448 -0.9950
102.525791 -0.9973
103.160676 -1.0695
103.712708 -1.2197
104.240309 -1.2221
105.011561 -1.9386
105.516783 -1.5519
106.285271 -1.1989
107.131347 -0.9718
107.827123 -0.9308
108.337481 -0.6495
109.06407 -0.4893
109.781059 -0.4417
110.300318 -0.4615
110.700332 -0.5570
111.14289 -0.7315
111.709389 -0.7262
112.428672 -0.7220
113.248725 -0.7170
113.822619 -0.7323
114.530007 -0.7176
115.161743 -0.7382
115.79308 -0.7839
116.289767 -0.8086
116.694204 -0.8328
117.116395 -0.8570
117.644826 -0.8606
118.286663 -0.8639
119.025012 -0.8689
119.561577 -0.8722
120.291662 -0.8876
120.826906 -0.9737
121.342293 -0.9888
121.993059 -1.0068
122.507591 -1.0270
123.040027 -1.0154
123.815804 -1.1465
124.237317 -1.2165
124.930387 -1.4394
125.467634 -1.7166
126.285015 -1.7522
127.231792 -1.7075
127.881053 -1.6901
128.80399 -1.1522
129.420775 -1.0811
130.294204 -1.0382
130.803914 -1.0126
131.76596 -0.9836
132.291813 -0.9952
133.143776 -1.0193
